entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:BlackStartSystemInitiationCoordination-83	83	Black start system initiation coordination	Black start system initiation coordination	Service	Conceptual	Provide a mechanism to start key generation resources when power is out in that area of the grid		Automation Service	Operations				
entity:BlackoutSimulator-84	84	Blackout simulator	Blackout simulator	Service	Conceptual	Provides what-if scenarios which could lead to system-wide failures		Automation Service	Operations				
entity:BlockEnergySupplier-85	85	Block energy supplier	Block energy supplier	Role		A party that is selling energy on a firm basis (a fixed volume per market time period)							
entity:BuildingAutomationSystem-86	86	Building Automation System	Building Automation System	Actor	Logical - 1st	The Building Automation System (BAS), also commonly referred to as a Customer Energy Management System (EMS), controls the premise's electrical devices and provides status information.  Building automation systems can be used to allow users to make automated or manual decisions to control energy consumption more efficiently. Through the meter or gateway interface the BAS receives pricing and other signals for managing the building’s systems, including heating and cooling systems, lighting, DER, electric storage, PHEVs and appliances. The BAS may be a utility subscription service, a 3rd party offered service, a consumer specified policy, a consumer owned device, or a manual control by the utility or consumer.	RM: Customer EMS, AMI/Customer EMS; CM: 1) Customer Energy Management System and 2) Building Automation ; NR: Customer Energy Management System; E: Energy Management System; EU: Building Energy Management Systems (BEM)	Application	Customer		system actor	consumer	
entity:BuildingDEREMS-BDEMS--87	87	Building DER EMS (BDEMS)	Building DER EMS (BDEMS)			System that manages the settings and dispatch of DER systems within a building							
entity:BuildingManagement-88	88	Building Management	Building Management	Service	Conceptual	Service that monitors and controls building energy and which potentially responds to signals while minimizing impact on building occupants.		Application	Service Provider				function/ service
entity:BuildingManagementSystem-89	89	Building Management System	Building Management System	System	Logical - 1st	A system consisting of several decentralized controllers and a centralized management system to monitor and control the heating, ventilation, air conditioning, light and other facilities within a building.							
entity:BuildingOperations-90	90	Building operations	Building operations	Role		A consumer of electricity which is a private or business building, may also be involved in contract-based Demand/Response.							
entity:BundleServices-91	91	bundle services	bundle services	Service	Conceptual	aggregate various services into metaservice		Business Service	Service Provider				
entity:BusinessCaseAnalysisService-92	92	business case analysis service	business case analysis service	Service	Conceptual	Provide a service to analyze business case results from creation to completion		Automation Service	Bulk Generation				
